_id,city,lat,lng,country,iso2,admin,capital,population,population_proper
ObjectId("5e4d6134af7600474e6bb1c3"),Beočin,45.191649,19.724962,Serbia,RS,Beočin ,admin,,
ObjectId("5e4d6134af7600474e6bb1c4"),Irig,45.100148,19.860301,Serbia,RS,Irig,admin,,
ObjectId("5e4d6134af7600474e6bb1c5"),Veliko Gradište,44.763811,21.516251,Serbia,RS,Veliko Gradište,admin,,
ObjectId("5e4d6134af7600474e6bb1c6"),Jagodina,43.97913,21.258311,Serbia,RS,Jagodina,admin,,
ObjectId("5e4d6134af7600474e6bb1c7"),Novi Kneževac,46.041039,20.09584,Serbia,RS,Novi Kneževac,admin,,
ObjectId("5e4d6134af7600474e6bb1c8"),Medveđa,42.842007,21.585811,Serbia,RS,Medveđa,admin,,
ObjectId("5e4d6134af7600474e6bb1c9"),Smederevo,44.651575,20.925777,Serbia,RS,Smederevo,admin,,
ObjectId("5e4d6134af7600474e6bb1ca"),Žagubica,44.197863,21.790196,Serbia,RS,Žagubica,admin,,
ObjectId("5e4d6134af7600474e6bb1cb"),Ražanj,43.674425,21.549205,Serbia,RS,Ražanj,admin,,
ObjectId("5e4d6134af7600474e6bb1cc"),Loznica,44.531179,19.242668,Serbia,RS,Loznica,admin,,
ObjectId("5e4d6134af7600474e6bb1cd"),Lučani,43.860816,20.138434,Serbia,RS,Lučani,admin,,
ObjectId("5e4d6134af7600474e6bb1ce"),Gornji Milanovac,44.024504,20.458646,Serbia,RS,Gornji Milanovac,admin,,
ObjectId("5e4d6134af7600474e6bb1cf"),Bačka Palanka,45.251876,19.391649,Serbia,RS,Bačka Palanka,admin,,
ObjectId("5e4d6134af7600474e6bb1d0"),Smederevska Palanka,44.365381,20.962273,Serbia,RS,Smederevska Palanka,admin,,
ObjectId("5e4d6134af7600474e6bb1d1"),Vranje,42.555997,21.900236,Serbia,RS,Vranje,admin,,
ObjectId("5e4d6134af7600474e6bb1d2"),Žabari,44.356169,21.214256,Serbia,RS,Žabari,admin,,
ObjectId("5e4d6134af7600474e6bb1d3"),Kosjerić,43.998702,19.907859,Serbia,RS,Kosjerić,admin,,
ObjectId("5e4d6134af7600474e6bb1d4"),Sopot,44.519348,20.575785,Serbia,RS,Beograd,minor,,
ObjectId("5e4d6134af7600474e6bb1d5"),Kučevo,44.476729,21.671183,Serbia,RS,Kučevo,admin,,
ObjectId("5e4d6134af7600474e6bb1d6"),Senta,45.927334,20.078859,Serbia,RS,Senta,admin,,
ObjectId("5e4d6134af7600474e6bb1d7"),Bajina Bašta,43.970917,19.565524,Serbia,RS,Bajina Bašta,admin,,
ObjectId("5e4d6134af7600474e6bb1d8"),Vrnjačka Banja,43.622328,20.89561,Serbia,RS,Vrnjačka Banja,admin,,
ObjectId("5e4d6134af7600474e6bb1d9"),Pirot,43.16165,22.58713,Serbia,RS,Pirot,admin,,
ObjectId("5e4d6134af7600474e6bb1da"),Knić,43.92696,20.719695,Serbia,RS,Knić,admin,,
